name,img,desc,down,url,author,ibsn,year,page,category
Teach Yourself Visually Windows 8.1,http://www.allitebooks.com/wp-content/uploads/1455/2556c7aa7a8bb59.jpeg,"A practical guide for visual learners eager to get started with Windows 8.1 If you learn more quickly when you can see how things are done, this Visual guide is the easiest way to get up and running on Windows 8.1. It covers more than 150 essential Windows tasks, using full-color screen shots and step-by-step instructions to show you just what to do. Learn your way around the interface and how to install programs, set up user accounts, play music and other media files, download photos from your digital camera, go online, set up and secure an e-mail account, and much more. Teach Yourself VISUALLY Windows 8.1 is the fastest, easiest way for visual learners to get going with the newest version of Windows.",http://file.allitebooks.com/20160219/Teach Yourself Visually Windows 8.1.pdf,http://www.allitebooks.com/teach-yourself-visually-windows-8-1/,Paul McFedries,111882623X,2014,352,Hardware & DIY
Koha 3 Library Management System,http://www.allitebooks.com/wp-content/uploads/1455/3956c65a797501a.jpeg,"Koha is the first full-featured open source library management system that is widely used for efficiently managing libraries. However, setting up and maintaining Koha is no walk in the park. It is not as straightforward as setting up the other popular LAMP applications. This practical guide provides all the essential information that is needed to make the task of installing and configuring Koha really seem simple and easy. It demonstrates how to set up Koha and its various aspects – installation, configuration, application administration, and data migration. It also covers troubleshooting, software maintenance, software customization, and other advanced topics. The book starts with installing and configuring the LAMP stack and the Koha application to meet your needs. It then goes deeper into setting up various rules and configuring settings for Koha. It also covers data migration of catalog and patron records, software maintenance, and customization of the application. Chapters are also dedicated to providing an insight into advanced topics such as LDAP integration and Internationalization. Filled with numerous code samples and screenshots, this book will tour you through setting up Koha for evaluation or test purposes. It also includes loads of tips for troubleshooting and maintenance activities. By the end of this book, you will have gained the knowledge to get the most out of your Koha installation. A system administrator’s manual demonstrating various installation and maintenance tasks for Koha using the Linux shell.",http://file.allitebooks.com/20160218/Koha 3 Library Management System.pdf,http://www.allitebooks.com/koha-3-library-management-system/,"Amit Gupta , Savitra Sirohi",1849510822,2010,288,PHP
Mastering CryENGINE,http://www.allitebooks.com/wp-content/uploads/1455/3956c65a74d1a64.jpeg,"CryENGINE is one of the most powerful real-time 3D engines available today; its rendering and real-time capabilities are unmatched. Mastering CryENGINE will take your CryENGINE skills to the next level, allowing you to unleash the full power of the engine. Whether you are working on a small mod or a large-scale production, the user-friendly steps and illustrations in this book will help you master the wide range of features of the CryENGINE toolkit. The book begins with the setting up of a CryENGINE-ready production pipeline, further introducing you to the advanced features of CryENGINE. You will learn advanced techniques, best practices, and various methods utilized in production by CryENGINE veterans. You will also explore how to use the Lua scripting language to build more sophisticated gameplay elements.",http://file.allitebooks.com/20160218/Mastering CryENGINE.pdf,http://www.allitebooks.com/mastering-cryengine/,"Michelle K. Martin , Sascha Gundlach",1783550252,2014,278,Graphics & Design
Getting Started with SQL,http://www.allitebooks.com/wp-content/uploads/1455/3956c65a702ab9c.jpeg,"Businesses are gathering data today at exponential rates and yet few people know how to access it meaningfully. If you’re a business or IT professional, this short hands-on guide teaches you how to pull and transform data with SQL in significant ways. You will quickly master the fundamentals of SQL and learn how to create your own databases. Author Thomas Nield provides exercises throughout the book to help you practice your newfound SQL skills at home, without having to use a database server environment. Not only will you learn how to use key SQL statements to find and manipulate your data, but you’ll also discover how to efficiently design and manage databases to meet your needs. You’ll also learn how to:",http://file.allitebooks.com/20160218/Getting Started with SQL.pdf,http://www.allitebooks.com/getting-started-with-sql/,Thomas Nield,1491938617,2016,134,SQL Data Processing Data Mining
Entity Framework Tutorial,http://www.allitebooks.com/wp-content/uploads/1455/3956c65a6b8c973.jpeg,"Take your ADO.NET knowledge to the next level and build a better data layer with this clear tutorial to the Entity Framework. This book is for C# developers who want an easier way to create their data access layer. You will need to be comfortable with ADO.NET, but you don’t need to know anything about the Entity Framework. Along the way we will create some ASP.NET applications, so being familiar with this will also help.",http://file.allitebooks.com/20160218/Entity Framework Tutorial.pdf,http://www.allitebooks.com/entity-framework-tutorial/,Joydip Kanjilal,1847195229,2008,228,Web Development
Redmine Plugin Extension and Development,http://www.allitebooks.com/wp-content/uploads/1455/5256c503e2a94ca.jpeg,"Redmine is a flexible project management web application that is cross-platform and cross-database. Redmine handles multiple projects and provides integrated project management features, issue tracking, and support for various version control systems. This book provides an overview of the tools available to potential plugin authors who want to extend and enhance a product to work their way. It is meant to teach developers who have existing Ruby on Rails experience on how they can properly extend Redmine through custom plugins. In this book, existing models, views, and controllers will be extended through the use of hooks. You will learn how custom updates can be tied into project and system activity streams. Plugin models will be made searchable and custom permissions and security will be discussed. This book will also teach you how to create a sustainable plugin for an established product and maintain an ongoing relationship with the Redmine community as it relates to a new plugin. Reading this book will provide you with the necessary skills to quickly and efficiently extend products through plugins.",http://file.allitebooks.com/20160217/Redmine Plugin Extension and Development.pdf,http://www.allitebooks.com/redmine-plugin-extension-and-development/,Alex Bevilacqua,1783288744,2014,96,Networking
Expert Cube Development with Microsoft SQL Server 2008 Analysis Services,http://www.allitebooks.com/wp-content/uploads/1455/5256c503de230db.jpeg,"This is a practical tutorial for Analysis Services that shows readers how to solve problems commonly encountered while designing cubes, and explains which features of Analysis Services work well and which should be avoided. The book walks through the whole cube development lifecycle, from building dimensions, cubes and calculations to tuning and moving the cube into production. This book is aimed at Analysis Services developers who already have some experience but who want to go into more detail on advanced topics, and who want to learn best practices for cube design.",http://file.allitebooks.com/20160217/Expert Cube Development with Microsoft SQL Server 2008 Analysis Services.pdf,http://www.allitebooks.com/expert-cube-development-with-microsoft-sql-server-2008-analysis-services/,"Alberto Ferrari , Chris Webb , Marco Russo",1847197221,2009,360,SQL
Flash Facebook Cookbook,http://www.allitebooks.com/wp-content/uploads/1455/5256c503d985ac9.jpeg,"Written in a cookbook style, this book offers solutions using a recipe-based approach. Each recipe contains step-by-step instructions followed by an analysis of what was done in each task and other useful information. This Cookbook is targeted towards those with at least a basic understanding of the Flash Builder IDE and the Flex framework. No prior knowledge of the Facebook APIs is assumed or required. If you want to start building Flash Facebook apps quickly and effectively this is the book for you.",http://file.allitebooks.com/20160217/Flash Facebook Cookbook.pdf,http://www.allitebooks.com/flash-facebook-cookbook/,James Ford,1849690723,2011,388,Flash
Flex 3 with Java,http://www.allitebooks.com/wp-content/uploads/1455/5256c503d4f2f69.jpeg,"The author’s experience in creating applications using Flex enables him to share insights on using it effectively in a clear, simple, and concise manner. His approach will help you gain hands-on programming experience in Flex 3 and ActionScript 3.0. The book focuses on important features of Flex 3 and ActionScript 3.0 and gives clear instructions and precise code examples to explain features and ensure that you actually learn as you read. This book is a good starting point for any developer with a little experience in Java programming to get going with Adobe Flex 3 and ActionScript 3.0 development. You may be a software developer/professional who wishes to learn and understand Flex 3 technology for developing Rich Internet Applications. If you are a system analyst who wants to explore and understand Flex 3 then this is an ideal book for you.",http://file.allitebooks.com/20160217/Flex 3 with Java.pdf,http://www.allitebooks.com/flex-3-with-java/,Satish Kore,1847195342,2009,304,Web Development
Mastering Windows Server 2012 R2,http://www.allitebooks.com/wp-content/uploads/2016/02/Mastering-Windows-Server-2012-R2.jpg,"Check out the new Hyper-V, find new and easier ways to remotely connect back into the office, or learn all about Storage Spaces—these are just a few of the features in Windows Server 2012 R2 that are explained in this updated edition from Windows authority Mark Minasi and a team of Windows Server experts led by Kevin Greene. This book gets you up to speed on all of the new features and functions of Windows Server, and includes real-world scenarios to put them in perspective. If you’re a system administrator upgrading to, migrating to, or managing Windows Server 2012 R2, find what you need to do the job in this complete resource. Learn all about:",http://file.allitebooks.com/20160216/Mastering Windows Server 2012 R2.pdf,http://www.allitebooks.com/mastering-windows-server-2012-r2/,"Christian Booth , John McCabe , Kevin Greene , Mark Minasi , Michael Rice , Robert Butler , Robert Panek , Stefan Roth",1118289420,2013,1706,Windows Network Administration
Mastering Zabbix,http://www.allitebooks.com/wp-content/uploads/2016/02/Mastering-Zabbix-400x493.jpg,"Monitoring systems are a crucial part of any IT environment. They can be extremely useful not only to identify specific problems, but also to measure your system’s performance and find the best way to improve it. However, they can be misleading and confusing if not correctly configured and managed. False alarms and missing data can undermine a monitoring system’s contribution to a healthy IT department. Zabbix 2.2 allows you to customize and implement ideas by extending, adding, or customizing functionality, giving an added value to that technology. This comprehensive guide will help you to make both strategic and practical decisions about the Zabbix monitoring system, so that it will fit your environment and monitoring needs like a glove. From choosing the correct size and configurationto what you should actually monitor, including exporting and integrating your data with other systems, this book will leave you with no doubts about the crucial role of a well configured monitoring system. Introducing you to methods to configure and choose between high availability and distributed Zabbix architectures for your largeenvironment, this guide will proceed to show you how to gather monitoring data, visualize, and act on it. Next, the guide explores how you can extend Zabbix and connect it to trouble ticketing systems or data mining solutions. You will also learn how to choose the ideal database backend, monitor appliances that only talk SNMP and application servers that talk JMX, and organize your charts and maps in screens that can be visualized on big screens. It shows you how to leverage Zabbix’s discovery capabilities to track your ever changing environment and build complex, intelligent alarms that won’t distract you with trivial problems. Finally, you will learn to expand Zabbix’s capabilities through its scripting facilities, protocol and powerful API.",http://file.allitebooks.com/20160216/Mastering Zabbix.pdf,http://www.allitebooks.com/mastering-zabbix/,"Andrea Dalle Vacche , Stefano Kewan Lee",1783283491,2013,358,Network Security
Managing IaaS and DBaaS Clouds with Oracle Enterprise Manager Cloud Control 12c,http://www.allitebooks.com/wp-content/uploads/2016/02/Managing-IaaS-and-DBaaS-Clouds-with-Oracle-Enterprise-Manager-Cloud-Control-12c-400x493.jpg,"Cloud computing has transformed the way that we write and deploy enterprise software. Oracle Enterprise Manager Cloud Control 12c has been designed to work with the cloud platform and reduce downtime, while improving performance and productivity. You can quickly set up, manage, and support enterprise clouds. This practical, example-oriented guide untangles many of the complexities involved in setting up a complete cloud computing platform. This book explores several methods of setting up IaaS and DBaaS using Oracle’s Enterprise Manager. Step-by-step, this guide will quickly familiarize you with the most important aspects of setting up a cloud platform. This book delves deep into the complexities surrounding cloud computing and comprehensively explores the approach that you need to take to build an effective infrastructure. You will start with a step-by-step approach to building an Infrastructure as a Service (IaaS), and take an in-depth view of building a Database as a Service (DBaaS) model of cloud computing. Following on from this, you will learn how the chargeback mechanism works and how it can be configured for your needs. Next, you will also learn how to use a programmable interface to manage your cloud via APIs and web services. This guide will walk you through the various components of Oracle Enterprise Manager and will teach you how to use them efficiently. This book will also explain how you can use cloud APIs to program your cloud.",http://file.allitebooks.com/20160216/Managing IaaS and DBaaS Clouds with Oracle Enterprise Manager Cloud Control 12c.pdf,http://www.allitebooks.com/managing-iaas-and-dbaas-clouds-with-oracle-enterprise-manager-cloud-control-12c/,Ved Antani,1782177701,2013,112,Oracle
Mastering Manga Studio 5,http://www.allitebooks.com/wp-content/uploads/2016/02/Mastering-Manga-Studio-5-400x493.jpg,"Time is something that almost every artist doesn’t have enough of. If you’re an illustrator or comic creator you know just how much time and effort it can take to produce one great page. But the features in Manga Studio 5 can make this process a lot more streamlined and give you more time to create! “Mastering Manga Studio 5″ will teach you how to create more comics and illustrations in less time than you ever thought possible. By using the features of Manga Studio 5 like the Story Editor, Custom brushes, actions, materials, and 3D models, you’ll learn how to make Manga Studio work for your style and workflow. Go from being a novice Manga Studio user to an expert using the tricks, techniques, and projects in this guide. Learn how to make and share custom tools, set up left- and right-handed workspaces, make custom materials, alter 3D models, and create custom actions. By putting together a custom story project and making your own tools, automating redundant processes, and converting an inked art into a traditional comic art, you’ll learn all about the advanced features of Manga Studio 5. “Mastering Manga Studio 5″ will teach you what you need to know to produce more work in less time.",http://file.allitebooks.com/20160216/Mastering Manga Studio 5.pdf,http://www.allitebooks.com/mastering-manga-studio-5/,Liz Staley,184969768X,2013,298,Software
Going GAS: From VBA to Google Apps Script,http://www.allitebooks.com/wp-content/uploads/1455/6956c3bf3bd809f.jpeg,"Whether you’re moving from Microsoft Office to Google Docs or simply want to learn how to automate Docs with Google Apps Script, this practical guide shows you by example how to work with each of the major Apps Script services. Office still supports VBA, but it’s not likely to do so for much longer. If you’re a VBA or .NET developer, you’ll learn how to port existing VBA code and structure to their JavaScript-based Apps Script equivalents with minimal effort. Author Bruce Mcpherson introduces JavaScript basics for experienced developers unfamiliar with the language, and demonstrates ways to build real-world apps using all of the Apps Script services previously covered.",http://file.allitebooks.com/20160216/Going GAS- From VBA to Google Apps Script.pdf,http://www.allitebooks.com/going-gas-from-vba-to-google-apps-script/,Bruce Mcpherson,1491940468,2016,456,Programming
"Networking All-in-One For Dummies, 6th Edition",http://www.allitebooks.com/wp-content/uploads/1455/6956c3bf374632c.jpeg,"Are you ready to build a network, but aren’t sure where to start? Networking All-In-One For Dummies, 6th Edition walks you through the basics. With nine self-contained minibooks that feature the latest updates on networking trends, including revised content for Windows 10 and Windows Server 2016, as well as updated coverage of broadband technologies, storage, and back-up, this fully-updated text will become your go-to guide for network development. This easy-to-understand guide gives you everything you need to dive into the network development game. Networking entails the connection of two or more computers, allowing them to share resources and exchange data. This is essential in the workplace, and has become highly popular in home settings as more and more people are connecting their home computers. Whether you’re a network administrator or someone who wants to create a home-based network, understanding how to build your network effectively is critical to your success. Networking All-In-One For Dummies, 6th Edition is the best-selling resource you need to catch up on the latest networking tools and trends.","http://file.allitebooks.com/20160216/Networking All-in-One For Dummies, 6th Edition.pdf",http://www.allitebooks.com/networking-all-in-one-for-dummies-6th-edition/,Doug Lowe,1119154723,2016,912,"Networks, Protocols & APIs"
Pro Visual C++/CLI and the .NET 2.0 Platform,http://www.allitebooks.com/wp-content/uploads/1455/6956c3bf32afde6.jpeg,"This book explains how to write .NET 2.0 applications and services. It provides you with a clean slate, erasing the need for developing the COM, DCOM, COM+, or ActiveX components that used to be a necessity. Instead, you’ll learn how to write .NET applications using C++/CLI. This book is based on its highly successful predecessor, and bridges the gap between classic C++ and C++/CLI. Furthermore, this edition is based on the newest version of Visual Studio .NET (2005) and .NET 2.0. All topic areas include specific code examples. By the end of the book, you will be proficient in developing .NET applications and services for both the Windows desktop and the Web.",http://file.allitebooks.com/20160216/Pro Visual C++CLI and the .NET 2.0 Platform.pdf,http://www.allitebooks.com/pro-visual-ccli-and-the-net-2-0-platform/,Stephen R. G. Fraser,1590596404,2011,964,C & C++
Vmware Vsphere 5.X Datacenter Design Cookbook,http://www.allitebooks.com/wp-content/uploads/1455/8056c26539a6633.jpeg,"VMware vSphere 5.x provides a robust and resilient platform for virtualizing server and application workloads in datacenters. The features available in VMware’s vSphere 5.x suite of products simplify the management of resources, increase the availability of applications, and guarantee the performance of workloads deployed in the virtualized datacenters. “VMware vSphere 5.x Design Cookbook” covers the design process from creating the conceptual design, to determining the resource requirements for the logical design, and then on to creating the physical design. “VMware vSphere 5.x Datacenter Design Cookbook” begins with the process of identifying the design factors and applying them to the logical and physical design process in order to create a successful vSphere 5.x design. The key to a successful VMware vSphere 5.x design is the design’s ability to satisfy the design factors. This Cookbook walks you through the process of identifying the design factors which include the requirements the design must satisfy and the assumptions the architect makes to form the conceptual design. From the conceptual design, the logical design is created. The logical design process includes determining the architecture of and the resources required for the management, storage, network, and compute resources. This Cookbook includes recipes for calculating the resources required and determining the architecture and features to use while applying VMware recommended practices. The physical design takes the logical design requirements and maps them to the physical infrastructure required to support the resources. “VMware vSphere 5.x Datacenter Design Cookbook” offers recipes to determine the physical resources and configuration required to support the logical design while satisfying the design factors. Finally, the book provides recipes for creating design documentation. Documenting the design, the implementation procedures, and the verification procedures are also covered towards the end of the book.",http://file.allitebooks.com/20160215/Vmware Vsphere 5.X Datacenter Design Cookbook.pdf,http://www.allitebooks.com/vmware-vsphere-5-x-datacenter-design-cookbook/,Hersey Cartwright,1782177000,2014,260,"Networks, Protocols & APIs"
"Elasticsearch Server, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/1455/8056c265351212e.jpeg,"This book begins by introducing the most commonly used Elasticsearch server functionalities, from creating your own index structure, through querying, faceting, and aggregations, and ends with cluster monitoring and problem diagnosis. As you progress through the book, you will cover topics such as starting Elasticsearch, creating a new index, and designing its proper structure. After that, you’ll read about the query API that Elasticsearch exposes, as well as about filtering capabilities, aggregations, and faceting. Last but not least, you will get to know how to find similar documents by using similar functionalities and how to implement application alerts by using the prospective search functionality called percolator. Some advanced topics such as shard allocation control, gateway configuration, and how to use the discovery module will also be discussed. This book will also show you the possibilities of cluster state and health monitoring as well as how to use third-party tools.","http://file.allitebooks.com/20160215/Elasticsearch Server, 2nd Edition.pdf",http://www.allitebooks.com/elasticsearch-server-2nd-edition/,"Marek Rogozinski , Rafal Kuc",1783980524,2014,428,"Networks, Protocols & APIs"
Hybrid Cloud For Dummies,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce2fc10ab.jpeg,"Choose the right combination of public, private, and data center resources to empower your business Hybrid clouds are transforming the way that organizations do business. This handy guide helps you find out what this new cloud deployment model is all about. You’ll get down- to-earth information about cloud technology, questions to consider, and how to plan and deliver your move to a hybrid environment. Open the book and find: Learn to:",http://file.allitebooks.com/20160215/Hybrid Cloud For Dummies.pdf,http://www.allitebooks.com/hybrid-cloud-for-dummies/,"Daniel Kirsch , Fern Halper , Judith Hurwitz , Marcia Kaufman",1118127196,2012,360,Cloud Computing
Python for Software Design,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce2b245b6.jpg,"Python for Software Design is a concise introduction to software design using the Python programming language. Intended for people with no programming experience, this book starts with the most basic concepts and gradually adds new material. Some of the ideas students find most challenging, like recursion and object-oriented programming, are divided into a sequence of smaller steps and introduced over the course of several chapters. The focus is on the programming process, with special emphasis on debugging. The book includes a wide range of exercises, from short examples to substantial projects, so that students have ample opportunity to practice each new concept. Exercise solutions and code examples are available from thinkpython.com, along with Swampy, a suite of Python programs that is used in some of the exercises.",http://file.allitebooks.com/20160215/Python for Software Design.pdf,http://www.allitebooks.com/python-for-software-design/,Allen B. Downey,521725968,2009,270,Python
BeagleBone Home Automation Blueprints,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce268a226.jpeg,"BeagleBone is a microboard PC that runs Linux. It can connect to the Internet and can run OSes such as Android and Ubuntu. BeagleBone is used for a variety of different purposes and projects, from simple projects such as building a thermostat to more advanced ones such as home security systems. Packed with real-world examples, this book will provide you with examples of how to connect several sensors and an actuator to the BeagleBone Black. You’ll learn how to give access to them, in order to realize simple-to-complex monitoring and controlling systems that will help you take control of the house. You will also find software examples of implementing web interfaces using the classical PHP/HTML pair with JavaScript, using complex APIs to interact with a Google Docs account, WhatsApp, or Facebook. This guide is an invaluable tutorial if you are planning to use a BeagleBone Black in a home automation project.",http://file.allitebooks.com/20160213/BeagleBone Home Automation Blueprints.pdf,http://www.allitebooks.com/beaglebone-home-automation-blueprints/,Rodolfo Giometti,1783986026,2016,380,Programming
"Teach Yourself VISUALLY Laptops, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/1455/1056bfce21e11b3.jpeg,"The fast and easy way to learn about buying, maintaining, and troubleshooting, a laptop How do I find the right laptop for me? Now that I have a laptop, how do I set it up and maintain it? What are some tips for getting the most out of software systems? How do I begin to troubleshoot my laptop? If you are a visual learner and have ever asked yourself any of those questions, then this is just the book you need. Visual, step-by-step guidance walks you through finding the right laptop to meet your needs, getting comfortable with the latest versions of Windows and the Microsoft Office Suite, and understanding the most important security aspects of keeping your online experiences safe. Teach Yourself VISUALLY Laptops, Second Edition offers you an easy-to-follow and visually appealing way to learn!","http://file.allitebooks.com/20160213/Teach Yourself VISUALLY Laptops, 2nd Edition.pdf",http://www.allitebooks.com/teach-yourself-visually-laptops-2nd-edition/,Sherry Kinkoph Gunter,1118252918,2012,336,Hardware & DIY
Building a Home Security System with Raspberry Pi,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce1d45a60.jpeg,"The Raspberry Pi is a powerful low-cost credit-card-sized computer, which lends itself perfectly as the controller for a sophisticated home security system. Using the on-board interfaces available, the Raspberry Pi can be expanded to allow the connection of a virtually infinite number of security sensors and devices. The Raspberry Pi has the processing power and interfaces available to build a sophisticated home security system but at a fraction of the cost of commercially available systems. Building a Home Security System with Raspberry Pi starts off by showing you the Raspberry Pi and how to set up the Linux-based operating system. It then guides you through connecting switch sensors and LEDs to the native GPIO connector safely, and how to access them using simple Bash scripts. As you dive further in, you’ll learn how to build an input/output expansion board using the I2C interface and power supply, allowing the connection of the large number of sensors needed for a typical home security setup. In the later chapters of the book, we’ll look at more sophisticated topics such as adding cameras, remotely accessing the system using your mobile phone, receiving intrusion alerts and images by e-mail, and more. By the end of the book, you will be well-versed with the use of Raspberry Pi to power a home-based security system that sends message alerts whenever it is triggered and will be able to build a truly sophisticated and modular home security system. You will also gain a good understanding of Raspberry Pi’s ecosystem and be able to write the functions required for a security system.",http://file.allitebooks.com/20160213/Building a Home Security System with Raspberry Pi.rar,http://www.allitebooks.com/building-a-home-security-system-with-raspberry-pi/,Matthew Poole,178217527X,2016,200,Linux & Unix Hardware & DIY
Banana Pro Blueprints,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce13b1505.jpeg,"This book follows a tactical plan that will guide you through the implementation of Banana Pro and its configurations. You will then learn the various programming languages used with Banana Pi with the help of examples. In no time at all, you’ll be working on a wireless project that implements AirPlay servers, hotspots, and so on. Following this, you’ll develop a retro-style arcade kiosk game. Then we’ll move on to explore the multimedia features of Banana Pro by designing and building an enclosure for it. After this, you’ll learn to build a remote-controlled smart car and we’ll examine how to control a robotic arm. The book will conclude with the creation of a home sensor system that has the ability to expand or shrink to suit any home.",http://file.allitebooks.com/20160213/Banana Pro Blueprints.rar,http://www.allitebooks.com/banana-pro-blueprints/,"Ruediger Follmann , Tony Zhang",1783552387,2015,366,Programming
Arduino for Secret Agents,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce0f0f4fd.jpeg,"Q might have Bond’s gadgets– but he doesn’t have an Arduino (not yet at least). Find out how the tiny Arduino microcomputer can be used to build an impressive range of neat secret agent projects that can help you go undercover and get to grips with the cutting-edge of the world of espionage with this book, created for ardent Arduino fans and anyone new to the powerful device. Each chapter shows you how to construct a different secret agent gadget, helping you to unlock the full potential of your Arduino and make sure you have a solution for every tricky spying situation. You’ll find out how to build everything from an alarm system to a fingerprint sensor, each project demonstrating a new feature of Arduino, so you can build your expertise as you complete each project. Learn how to open a lock with a text message, monitor top secret data remotely, and even create your own Arduino Spy Robot, Spy Microphone System, and Cloud Spy Camera This book isn’t simply an instruction manual – it helps you put your knowledge into action so you can build every single project to completion.",http://file.allitebooks.com/20160213/Arduino for Secret Agents.rar,http://www.allitebooks.com/arduino-for-secret-agents/,Marco Schwartz,1783986085,2015,170,Hardware & DIY
Raspberry Pi Robotic Blueprints,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce0a61426.jpeg,"The Raspberry Pi is a series of credit card-sized single-board computers developed in the UK by the Raspberry Pi Foundation with the intention of promoting the teaching of basic computer science in schools. The Raspberry Pi is known as a tiny computer built on a single circuit board. It runs a Linux operating system, and has connection ports for various peripherals so that it can be hooked up to sensors, motors, cameras, and more. Raspberry Pi has been hugely popular among hardware hobbyists for various projects, including robotics. This book gives you an insight into implementing several creative projects using the peripherals provided by Raspberry Pi. To start, we’ll walk through the basic robotics concepts that the world of Raspberry Pi offers us, implementing wireless communication to control your robot from a distance. Next, we demonstrate how to build a sensible and a visionary robot, maximizing the use of sensors and step controllers. After that, we focus on building a wheeled robot that can draw and play hockey. To finish with a bang, we’ll build an autonomous hexcopter, that is, a flying robot controlled by Raspberry Pi. By the end of this book, you will be a maestro in applying an array of different technologies to create almost any imaginable robot.",http://file.allitebooks.com/20160213/Raspberry Pi Robotic Blueprints.rar,http://www.allitebooks.com/raspberry-pi-robotic-blueprints/,Richard Grimmett,1784396281,2015,198,Hardware & DIY
Project 2010 For Dummies,http://www.allitebooks.com/wp-content/uploads/1455/1056bfce05b0c3b.jpeg,"A friendly reference guide to Microsoft Project, the leading enterprise project management software As project management software, Microsoft Project allows you to oversee your business activities effectively. You can manage resources, share project info, perform modeling and scenario analysis, and standardize reporting processes. This easy-to-understand guide is completely updated to cover the latest changes and newest enhancements to Project 2010 and shows you how to get Project 2010 to work for you. After an introduction to basic project management concepts, you’ll discover the mechanics of using Project software to create and manage projects. Other topics covered include working with calendars, using and sharing resources, budgeting, formatting taskbars, gathering and tracking data, working with reports, and creating templates. Let the friendly For Dummies writing style guide you through maximizing the new features of Project 2010.",http://file.allitebooks.com/20160213/Project 2010 For Dummies.pdf,http://www.allitebooks.com/project-2010-for-dummies/,Nancy C. Muir,470501324,2010,432,Office
"Enterprise Mac Security, 3rd Edition",http://www.allitebooks.com/wp-content/uploads/1455/1056bfce011e593.jpeg,"Enterprise Mac Security is a definitive, expert-driven update of the popular, slash-dotted first edition which was written in part as a companion to the SANS Institute course for Mac OS X. It contains detailed Mac OS X security information, and walkthroughs on securing systems, including the new 10.11 operating system. A common misconception in the Mac community is that Mac’s operating system is more secure than others. While this might be have been true in certain cases, security on the Mac has always still been a crucial issue. With the release of OS X 10.11, the operating system is taking large strides in getting even more secure. Even still, when sharing is enabled or remote control applications are installed, Mac OS X faces a variety of security threats, whether these have been exploited or not. This book caters to both the beginning home user and the seasoned security professional not accustomed to the Mac, establishing best practices for Mac OS X for a wide audience. The authors of this book are seasoned Mac and security professionals, having built many of the largest network infrastructures for Apple and spoken at both DEFCON and Black Hat on OS X security.","http://file.allitebooks.com/20160213/Enterprise Mac Security, 3rd Edition.pdf",http://www.allitebooks.com/enterprise-mac-security-3rd-edition/,"Charles Edge , Daniel O'Donnell",148421711X,2016,511,Macintosh
IBM DB2 9.7 Advanced Application Developer Cookbook,http://www.allitebooks.com/wp-content/uploads/1455/1056bfcdfc82a0e.jpeg,"With lots of new features, DB2 9.7 delivers one the best relational database systems in the market. DB2 pureXML optimizes Web 2.0 and SOA applications. DB2 LUW database software offers industry leading performance, scale, and reliability on your choice of platform on various Linux distributions, leading Unix Systems like AIX, HP-UX and Solaris and MS Windows platforms. This DB2 9.7 Advanced Application Developer Cookbook will provide an in-depth quick reference during any application’s design and development. This practical cookbook focuses on advanced application development areas that include performance tips and the most useful DB2 features that help in designing high quality applications. This book dives deep into tips and tricks for optimized application performance. With this book you will learn how to use various DB2 features in database applications in an interactive way.",http://file.allitebooks.com/20160213/IBM DB2 9.7 Advanced Application Developer Cookbook.rar,http://www.allitebooks.com/ibm-db2-9-7-advanced-application-developer-cookbook/,"Mohankumar Saraswatipura , Sanjay Kumar",1849683964,2011,442,Datebases
Introduction to HPC with MPI for Data Science,http://www.allitebooks.com/wp-content/uploads/1455/1056bfcdf7d649e.jpeg,"This gentle introduction to High Performance Computing (HPC) for Data Science using the Message Passing Interface (MPI) standard has been designed as a first course for undergraduates on parallel programming on distributed memory models, and requires only basic programming notions. Divided into two parts the first part covers high performance computing using C++ with the Message Passing Interface (MPI) standard followed by a second part providing high-performance data analytics on computer clusters. In the first part, the fundamental notions of blocking versus non-blocking point-to-point communications, global communications (like broadcast or scatter) and collaborative computations (reduce), with Amdalh and Gustafson speed-up laws are described before addressing parallel sorting and parallel linear algebra on computer clusters. The common ring, torus and hypercube topologies of clusters are then explained and global communication procedures on these topologies are studied. This first part closes with the MapReduce (MR) model of computation well-suited to processing big data using the MPI framework. In the second part, the book focuses on high-performance data analytics. Flat and hierarchical clustering algorithms are introduced for data exploration along with how to program these algorithms on computer clusters, followed by machine learning classification, and an introduction to graph analytics. This part closes with a concise introduction to data core-sets that let big data problems be amenable to tiny data problems. Exercises are included at the end of each chapter in order for students to practice the concepts learned, and a final section contains an overall exam which allows them to evaluate how well they have assimilated the material covered in the book.",http://file.allitebooks.com/20160213/Introduction to HPC with MPI for Data Science.pdf,http://www.allitebooks.com/introduction-to-hpc-with-mpi-for-data-science/,Frank Nielsen,3319219022,2016,282,Data Mining
